company,name,year,kms_driven,price,fuel_type,unnamed: 6
Yamaha,Byson,2016,5000,13000000,bensin,
Yamaha,Fino,2021,5000,17700000,bensin,
Honda,Astrea,1996,300000,5000000,bensin,
Honda,kharisma,2004,20000,4000000,bensin,
Kawasaki,Ninja 250,2017,10000,42000000,bensin,
Kawasaki,Ninja 250,2017,10000,42000000,bensin,
Honda,Beat,2022,5000,16500000,bensin,
Honda,Scoopy,2016,25000,11500000,bensin,
Honda,NSR,1991,30000,400000000,bensin,
Kawasaki,ZX,2011,20000,250000000,bensin,
Honda,Scoopy,2019,5000,14300000,bensin,
Honda,Sonic,2015,50000,12500000,bensin,
Honda,Sonic,2015,50000,12500000,bensin,
Honda,CBR,2017,25000,17600000,bensin,
Honda,Sonic,2015,50000,12500000,bensin,
Honda,CBR,2023,5000,33500000,bensin,
Honda,Sonic,2015,50000,12500000,bensin,
Yamaha,NMAX,2020,20000,27000000,bensin,
Yamaha,NMAX,2020,20000,27000000,bensin,
Yamaha,NMAX,2020,20000,27000000,bensin,
Yamaha,NMAX,2020,20000,27000000,bensin,
Kawasaki,Ninja 250,2019,15000,41000000,bensin,
Honda,Supra,2018,25000,14000000,bensin,
Honda,Supra,2018,25000,14000000,bensin,
Honda,Vario,2018,20000,18500000,bensin,
Kawasaki,Ninja 250,2019,15000,41000000,bensin,
Honda,CBR,2012,15000,26000000,bensin,
Honda,CBR,2016,25000,16600000,bensin,
Honda,CBR,2023,5000,33500000,bensin,
Honda,Beat,2023,5000,18400000,bensin,
Honda,Scoopy,2016,40000,12000000,bensin,
Yamaha,Aerox,2018,50000,23800000,bensin,
Honda,Beat,2020,35000,16200000,bensin,
Honda,Vario,2019,40000,20400000,bensin,
Honda,Beat,2021,30000,16900000,bensin,
Honda,PCX,2022,20000,31400000,bensin,
Honda,CB 150R,2017,15000,16500000,bensin,
Yamaha,Vixion,2016,5000,8950000,bensin,
Kawasaki,D-Tracker,2018,15000,23500000,bensin,
Honda,PCX,2021,10000,28000000,bensin,
Honda,Beat,2014,5000,8500000,bensin,
Honda,Beat,2014,5000,8500000,bensin,
Honda,Scoopy,2022,5000,19800000,bensin,
Yamaha,YZF R15,2018,5000,26500000,bensin,
Yamaha,NMAX,2021,20000,26500000,bensin,
Yamaha,Aerox,2017,25000,19800000,bensin,
Yamaha,YZF R15,2023,5000,26500000,bensin,
Yamaha,NMAX,2021,20000,26500000,bensin,
Yamaha,YZF R15,2023,5000,37000000,bensin,
Yamaha,Grizzly,2021,50000,11750000,bensin,
Yamaha,YZF R15,2021,15000,28500000,bensin,
Honda,CBR,2018,15000,23000000,bensin,
Yamaha,Xeon,2014,5000,8600000,bensin,
Yamaha,Xabre,2016,5000,20500000,bensin,
Yamaha,Xabre,2016,5000,20500000,bensin,
Yamaha,Xabre,2016,5000,20500000,bensin,
Yamaha,Freego,2022,5000,20500000,bensin,
Yamaha,NMAX,2020,30000,23500000,bensin,
Honda,CBR,2010,30000,25000000,bensin,
Yamaha,NMAX,2020,35000,23950000,bensin,
Honda,Beat,2021,20000,14950000,bensin,
Honda,PCX,2019,25000,21950000,bensin,
Honda,Beat,2021,25000,14850000,bensin,
Yamaha,Scorpio,2012,35000,13900000,bensin,
Honda,Vario,2016,30000,13350000,bensin,
Honda,Vario,2015,35000,12900000,bensin,
Honda,Vario,2015,40000,13500000,bensin,
Honda,Beat,2016,35000,10750000,bensin,
Honda,Beat,2016,45000,11000000,bensin,
Honda,Beat,2015,60000,10100000,bensin,
Honda,Scoopy,2016,25000,12500000,bensin,
Yamaha,NMAX,2020,30000,23750000,bensin,
Honda,CBR,2017,30000,16500000,bensin,
Honda,Scoopy,2022,10000,18300000,bensin,
Yamaha,NMAX,2019,30000,20800000,bensin,
Yamaha,Vixion,2017,5000,12000000,bensin,
Honda,Scoopy,2022,10000,18600000,bensin,
Honda,Vario,2021,25000,20500000,bensin,
Honda,Scoopy,2018,20000,15500000,bensin,
Honda,Scoopy,2018,5000,14500000,bensin,
Honda,Beat,2023,5000,17000000,bensin,
Honda,Beat,2011,5000,7800000,bensin,
Honda,Beat,2017,5000,16500000,bensin,
Kawasaki,Ninja R,2015,50000,45000000,bensin,
Honda,Beat,2017,50000,12500000,bensin,
Kawasaki,Versys,2023,5000,75000000,bensin,
Honda,CB,2016,35000,14500000,bensin,
Honda,CBR,2023,5000,61000000,bensin,
Kawasaki,Z Series,2013,15000,37500000,bensin,
Kawasaki,Estrella,2019,10000,23250000,bensin,
Yamaha,F 1 ZR,2002,20000,11000000,bensin,
Yamaha,F 1 ZR,1999,25000,9900000,bensin,
Yamaha,NMAX,2019,55000,21000000,bensin,
Honda,CB 150R,2018,30000,16000000,bensin,
Yamaha,R1,2014,15000,350000000,bensin,
Honda,Beat,2023,5000,16250000,bensin,
Kawasaki,Ninja,2022,5000,135000000,bensin,
Yamaha,NMAX,2022,55000,27500000,bensin,
Benelli,Patagonian Eagle,2021,25000,60000000,bensin,
Honda,Beat,2016,30000,11500000,bensin,
Kawasaki,Ninja R,2019,30000,20500000,bensin,
Kawasaki,KLX,2021,10000,28500000,bensin,
Honda,Vario,2021,25000,20500000,bensin,
Honda,Vario,2020,15000,18500000,bensin,
Yamaha,Xmax,2018,15000,46000000,bensin,
Honda,Scoopy,2018,35000,14000000,bensin,
Honda,Scoopy,2023,10000,19000000,bensin,
Honda,Vario,2019,30000,18500000,bensin,
Honda,Beat,2019,30000,14000000,bensin,
Yamaha,Xeon,2015,35000,9000000,bensin,
Honda,Impressa,1995,30000,10500000,bensin,
Honda,Beat,2022,15000,16000000,bensin,
Yamaha,NMAX,2022,5000,29800000,bensin,
Honda,CBR,2019,5000,24500000,bensin,
Yamaha,Freego,2021,5000,14500000,bensin,
Honda,Scoopy,2023,10000,19800000,bensin,
Honda,CBR,2023,5000,33500000,bensin,
Yamaha,Soul GT,2016,20000,10500000,bensin,
Yamaha,Freego,2021,20000,15200000,bensin,
